

model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
1D_L4	-3.6356495	4	0.8	1e-09	1e-09	0	-3.3751985e-10	3.6	1	0.11075984	0.6123186	0.37699099	0	0	1	-0.90519875	0.02001167	0.053615279	0.011091385	0.012981328	0.10721687	0	0.19262836	-14.289218	R0:N4:S0:1	3bcaa91	-3.6356495	2022-01-31@15:42
1D_L4	-3.6356613	4	0.8	1e-09	1e-09	0	0.0099999997	3.6	1	0.11076551	0.61230995	0.37699246	-0.00074054035	-0.002141462	1	-0.90520382	0.020012459	0.053618197	0.011091721	0.012981903	0.10722029	0	0.19262196	-14.289261	R0:N4:S0:1	3bcaa91	-3.6356613	2022-01-31@15:42
1D_L4	-3.6356613	4	0.8	1e-09	1e-09	0	-0.01	3.6	1	0.11076551	0.61230995	0.37699246	0.00074054034	0.002141462	1	-0.90520382	0.020012459	0.053618197	0.011091721	0.012981903	0.10722029	0	0.19262196	-14.289261	R0:N4:S0:1	3bcaa91	-3.6356613	2022-01-31@15:42
1D_L4	-3.6356495	4	0.8	1e-09	1e-09	0	-1.9007371e-09	3.6	1	0.11075984	0.6123186	0.37699099	1.0968623e-10	3.3297339e-10	1	-0.90519875	0.02001167	0.053615279	0.011091385	0.012981328	0.10721687	0	0.19262836	-14.289218	R0:N4:S0:1	3bcaa91	-3.6356495	2022-01-31@15:42


model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
1D_L4	-3.9151033	4	1	1e-09	1e-09	0	-1.9007371e-09	4	1	0.12080131	0.59052256	0.38545869	1.3246838e-10	3.9292962e-10	1	-0.92569142	0.021181363	0.059300724	0.011859318	0.014362547	0.1173271	0	0.17187705	-15.407854	R0:N4:S0:1	3bcaa91	-3.9151033	2022-01-31@15:42
1D_L4	-3.9151132	4	1	1e-09	1e-09	0	0.0099999981	4	1	0.12080828	0.59051139	0.38546074	-0.0008909802	-0.0025360557	1	-0.92569544	0.021182259	0.05930407	0.01185966	0.014363183	0.11733085	0	0.17187086	-15.407905	R0:N4:S0:1	3bcaa91	-3.9151132	2022-01-31@15:42
1D_L4	-3.9151132	4	1	1e-09	1e-09	0	-0.010000002	4	1	0.12080828	0.59051139	0.38546074	0.00089098047	0.0025360565	1	-0.92569544	0.021182259	0.05930407	0.01185966	0.014363183	0.11733085	0	0.17187086	-15.407905	R0:N4:S0:1	3bcaa91	-3.9151132	2022-01-31@15:42
1D_L4	-3.9151033	4	1	1e-09	1e-09	0	0	4	1	0.12080131	0.59052256	0.38545869	0	0	1	-0.92569142	0.021181363	0.059300724	0.011859318	0.014362547	0.1173271	0	0.17187705	-15.407854	R0:N4:S0:1	3bcaa91	-3.9151033	2022-01-31@15:42


model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
