model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.7906782	-0.63686929	1.52	1	0.65443056	0.62360374	0.10598601	0.10219091	3.8940502	1.0018795	-0.67318334	-0.85955627	-0.87068299	0.042410858	0.096902319	0.10004874	0.03973132	0.41496143	1.7723493	1.752668	-6.9466832	R0:N6:S0:1	e569cda	 3.30e-03	 5.65e-06	 1.07e-06	2022-03-21@18:29
1D_2_4b	4	1.7906743	-0.63687977	1.52	1	0.65443071	0.62360539	0.10598591	0.1021911	3.8940504	1.0018792	-0.67318335	-0.85955702	-0.87068229	0.042410828	0.096902478	0.10004854	0.03973133	0.41496142	1.7723481	1.7526689	-6.9467259	R0:N6:S0:1	e569cda	 3.30e-03	 2.52e-07	 4.48e-07	2022-03-21@18:29
1D_2_4b	4	1.7993044	-0.59905143	1.5	1	0.65233735	0.61883611	0.10593077	0.10250315	3.8938846	1.0018061	-0.6731146	-0.86043474	-0.87069224	0.042392361	0.097193694	0.10019751	0.039726374	0.41494004	1.7722754	1.753118	-6.7525138	R0:N6:S0:1	e569cda	 4.03e-03	 4.82e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7983644	-0.59890354	1.5	1	0.6522533	0.61870763	0.10592044	0.1025414	3.8938912	1.0017837	-0.67310965	-0.8605671	-0.87064888	0.042389071	0.097227918	0.10019223	0.039728279	0.41493495	1.7721645	1.7532188	-6.7518501	R0:N6:S0:1	e569cda	 4.03e-03	 6.81e-05	 1.66e-05	2022-03-21@18:29
1D_2_4b	4	1.7983456	-0.59903621	1.5	1	0.65227045	0.61872476	0.10591896	0.10254533	3.8938947	1.00178	-0.67310951	-0.86058396	-0.87063829	0.042388604	0.097231338	0.10018926	0.039728664	0.41493429	1.7721439	1.7532336	-6.7523983	R0:N6:S0:1	e569cda	 4.03e-03	 2.87e-05	 6.65e-06	2022-03-21@18:29
1D_2_4b	4	1.7983394	-0.59909246	1.5	1	0.65227321	0.61873375	0.10591848	0.10254579	3.8938961	1.001779	-0.67310966	-0.86058615	-0.87063393	0.042388454	0.097231702	0.10018796	0.039728643	0.41493439	1.7721389	1.7532383	-6.7526282	R0:N6:S0:1	e569cda	 4.03e-03	 1.16e-05	 2.61e-06	2022-03-21@18:29
1D_2_4b	4	1.798335	-0.59911486	1.5	1	0.65227406	0.61873764	0.10591832	0.10254608	3.8938966	1.0017787	-0.67310968	-0.86058739	-0.87063267	0.042388403	0.097231943	0.10018756	0.039728665	0.41493437	1.7721367	1.7532399	-6.75272	R0:N6:S0:1	e569cda	 4.03e-03	 4.10e-06	 1.02e-06	2022-03-21@18:29
1D_2_4b	4	1.7983319	-0.59912232	1.5	1	0.65227342	0.61873878	0.10591824	0.10254603	3.8938968	1.0017786	-0.67310973	-0.86058716	-0.87063189	0.042388379	0.097231891	0.10018734	0.039728631	0.41493444	1.7721364	1.7532407	-6.7527498	R0:N6:S0:1	e569cda	 4.03e-03	 2.26e-07	 3.54e-07	2022-03-21@18:29
1D_2_4b	4	1.80326	-0.5602573	1.48	1	0.64979056	0.61325851	0.10581329	0.10299499	3.893778	1.0016135	-0.67302838	-0.86191359	-0.87035391	0.042353916	0.097646262	0.10029697	0.03972223	0.41491062	1.7716799	1.7541579	-6.5539325	R0:N6:S0:1	e569cda	 5.02e-03	 7.67e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.8017353	-0.56031422	1.48	1	0.64971736	0.61311662	0.10579602	0.10307351	3.8937862	1.0015702	-0.67301694	-0.86219575	-0.87029956	0.042348451	0.097716351	0.10029098	0.039728918	0.41489517	1.7714443	1.7543322	-6.5541246	R0:N6:S0:1	e569cda	 5.01e-03	 1.85e-04	 3.06e-05	2022-03-21@18:29
1D_2_4b	4	1.80151	-0.56060463	1.48	1	0.6497315	0.61316014	0.10579303	0.10309019	3.8937888	1.0015605	-0.67301448	-0.86225992	-0.8702938	0.042347527	0.09773104	0.10028894	0.039731253	0.41489041	1.771383	1.7543653	-6.5553287	R0:N6:S0:1	e569cda	 5.00e-03	 6.61e-05	 1.55e-05	2022-03-21@18:29
1D_2_4b	4	1.8015035	-0.56073386	1.48	1	0.64974079	0.61318514	0.10579237	0.10309192	3.8937909	1.0015586	-0.67301447	-0.86226778	-0.87028922	0.042347325	0.097732481	0.10028716	0.039731545	0.41488994	1.771371	1.7543725	-6.5558623	R0:N6:S0:1	e569cda	 5.00e-03	 2.33e-05	 6.32e-06	2022-03-21@18:29
1D_2_4b	4	1.8015014	-0.56077947	1.48	1	0.64974277	0.61319408	0.10579215	0.10309216	3.8937917	1.0015581	-0.67301456	-0.86226906	-0.87028721	0.042347255	0.09773266	0.10028643	0.039731575	0.41488993	1.7713677	1.7543749	-6.5560496	R0:N6:S0:1	e569cda	 5.00e-03	 8.23e-06	 2.22e-06	2022-03-21@18:29
1D_2_4b	4	1.8015007	-0.56079559	1.48	1	0.64974352	0.61319727	0.10579207	0.10309226	3.893792	1.0015579	-0.67301458	-0.86226957	-0.87028656	0.042347231	0.097732736	0.10028619	0.039731591	0.41488992	1.7713665	1.7543757	-6.5561159	R0:N6:S0:1	e569cda	 5.00e-03	 3.66e-07	 7.81e-07	2022-03-21@18:29
1D_2_4b	4	1.8001812	-0.52190048	1.46	1	0.64684054	0.60697975	0.10560662	0.1038385	3.8937318	1.0012149	-0.67289614	-0.86462357	-0.86965072	0.042287119	0.098412765	0.10034892	0.039740761	0.41482624	1.7700301	1.756085	-6.356833	R0:N6:S0:1	e569cda	 6.32e-03	 1.43e-03	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7973837	-0.52253059	1.46	1	0.64678892	0.60689026	0.10557911	0.10401072	3.8937286	1.0011304	-0.67286698	-0.86525185	-0.86963425	0.042278509	0.098566137	0.10035444	0.039761266	0.41478118	1.7695209	1.7563806	-6.3594548	R0:N6:S0:1	e569cda	 6.29e-03	 3.25e-04	 6.73e-05	2022-03-21@18:29
1D_2_4b	4	1.7972228	-0.52314614	1.46	1	0.64684632	0.60700926	0.10557585	0.1040327	3.893733	1.0011172	-0.6728637	-0.86534128	-0.86963158	0.042277525	0.098585313	0.10035095	0.039765264	0.41477339	1.7694294	1.7564197	-6.3620214	R0:N6:S0:1	e569cda	 6.28e-03	 1.15e-04	 3.37e-05	2022-03-21@18:29
1D_2_4b	4	1.7972183	-0.52337059	1.46	1	0.64685955	0.60705873	0.10557529	0.10403498	3.8937353	1.0011148	-0.67286359	-0.86535202	-0.86962899	0.042277361	0.098587167	0.10034894	0.039765891	0.41477234	1.769412	1.7564271	-6.3629503	R0:N6:S0:1	e569cda	 6.28e-03	 3.96e-05	 1.17e-05	2022-03-21@18:29
1D_2_4b	4	1.7972383	-0.52344498	1.46	1	0.64686435	0.60707608	0.10557522	0.10403429	3.8937365	1.0011146	-0.67286385	-0.86535033	-0.86962712	0.042277344	0.098586488	0.10034794	0.039765887	0.41477246	1.7694099	1.756428	-6.3632571	R0:N6:S0:1	e569cda	 6.28e-03	 9.59e-06	 3.83e-06	2022-03-21@18:29
1D_2_4b	4	1.7972427	-0.52346325	1.46	1	0.64686419	0.60707985	0.10557515	0.10403372	3.893737	1.0011146	-0.67286404	-0.86534831	-0.86962557	0.042277322	0.098585963	0.10034743	0.039765781	0.4147727	1.7694103	1.7564286	-6.363331	R0:N6:S0:1	e569cda	 6.28e-03	 5.02e-06	 9.75e-07	2022-03-21@18:29
1D_2_4b	4	1.797248	-0.52347146	1.46	1	0.6468654	0.607082	0.10557517	0.10403363	3.8937371	1.0011146	-0.67286406	-0.86534814	-0.86962559	0.042277329	0.098585876	0.10034737	0.039765794	0.41477269	1.7694101	1.7564285	-6.3633653	R0:N6:S0:1	e569cda	 6.28e-03	 0.00e+00	 4.12e-07	2022-03-21@18:29
1D_2_4b	4	1.7855734	-0.48714878	1.44	1	0.64363931	0.6003943	0.10526681	0.10539498	3.8937199	1.0004425	-0.67265257	-0.86988049	-0.868678	0.042178401	0.099812693	0.10038234	0.039834303	0.41457525	1.7662294	1.759417	-6.1745142	R0:N6:S0:1	e569cda	 7.92e-03	 1.67e-03	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7825531	-0.48854696	1.44	1	0.64372214	0.60049763	0.10523971	0.10562508	3.893698	1.0003384	-0.67261003	-0.87073052	-0.86874828	0.042170048	0.10001699	0.10040517	0.039867606	0.41450392	1.7655474	1.7597308	-6.1804389	R0:N6:S0:1	e569cda	 7.87e-03	 4.08e-04	 1.09e-04	2022-03-21@18:29
1D_2_4b	4	1.782523	-0.48933685	1.44	1	0.64379864	0.6006833	0.10523898	0.10564416	3.8936991	1.0003284	-0.67260648	-0.87081188	-0.86876719	0.042169891	0.10003338	0.10040461	0.039872628	0.41449434	1.765461	1.7597485	-6.1837456	R0:N6:S0:1	e569cda	 7.86e-03	 1.33e-04	 4.49e-05	2022-03-21@18:29
1D_2_4b	4	1.7826435	-0.48956524	1.44	1	0.64381783	0.60074399	0.1052396	0.10563928	3.8937019	1.0003294	-0.6726076	-0.87079741	-0.86876547	0.042170099	0.10002883	0.10040209	0.039872518	0.41449498	1.7654628	1.7597434	-6.1846916	R0:N6:S0:1	e569cda	 7.85e-03	 7.41e-05	 1.26e-05	2022-03-21@18:29
1D_2_4b	4	1.7827802	-0.48961853	1.44	1	0.64383175	0.600759	0.10523999	0.10563228	3.8937049	1.0003314	-0.67260921	-0.87077388	-0.8687577	0.042170219	0.10002254	0.10039938	0.039871584	0.41449715	1.7654765	1.7597381	-6.1849098	R0:N6:S0:1	e569cda	 7.85e-03	 5.04e-06	 3.04e-06	2022-03-21@18:29
1D_2_4b	4	1.7827813	-0.48962798	1.44	1	0.64382949	0.60076143	0.10523999	0.1056315	3.8937052	1.0003316	-0.6726094	-0.87077085	-0.86875673	0.042170219	0.10002184	0.10039906	0.039871445	0.41449746	1.7654781	1.759738	-6.1849466	R0:N6:S0:1	e569cda	 7.85e-03	 0.00e+00	 5.83e-07	2022-03-21@18:29
1D_2_4b	4	1.7581007	-0.45926563	1.42	1	0.64063575	0.59423501	0.10478551	0.10794287	3.8936705	0.9991933	-0.6722376	-0.87866544	-0.86775497	0.042025494	0.10208826	0.10046523	0.040056851	0.41404449	1.7594639	1.7643383	-6.0209096	R0:N6:S0:1	e569cda	 9.66e-03	 8.90e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7570431	-0.46064844	1.42	1	0.64079424	0.59457041	0.10478413	0.10806893	3.893631	0.99915005	-0.67220887	-0.87914043	-0.86793112	0.042025323	0.10219946	0.10050217	0.040082725	0.41399077	1.7590985	1.7643971	-6.0268384	R0:N6:S0:1	e569cda	 9.63e-03	 1.88e-04	 8.76e-05	2022-03-21@18:29
1D_2_4b	4	1.7570349	-0.46100561	1.42	1	0.64082313	0.59468131	0.10478643	0.10807871	3.893624	0.99914866	-0.67220576	-0.87918044	-0.86797038	0.042026107	0.10220788	0.1005086	0.040086343	0.41398363	1.7590656	1.7643828	-6.0283516	R0:N6:S0:1	e569cda	 9.63e-03	 8.68e-05	 2.08e-05	2022-03-21@18:29
1D_2_4b	4	1.7571956	-0.46106459	1.42	1	0.64084168	0.59470295	0.10478739	0.1080713	3.8936258	0.99915144	-0.67220722	-0.87915649	-0.86796761	0.042026412	0.10220124	0.10050682	0.040085641	0.41398536	1.7590811	1.7643724	-6.028599	R0:N6:S0:1	e569cda	 9.63e-03	 1.11e-06	 3.54e-06	2022-03-21@18:29
1D_2_4b	4	1.7571961	-0.46106479	1.42	1	0.64083964	0.59470366	0.10478745	0.10807074	3.8936259	0.99915169	-0.67220733	-0.87915423	-0.86796753	0.04202643	0.10220074	0.10050676	0.04008555	0.41398556	1.7590828	1.7643718	-6.0285986	R0:N6:S0:1	e569cda	 9.63e-03	 0.00e+00	 2.36e-07	2022-03-21@18:29
1D_2_4b	4	1.7204924	-0.43778187	1.4	1	0.63789585	0.5889087	0.10421637	0.11144941	3.8934557	0.99754744	-0.67163514	-0.89070837	-0.86739834	0.041845497	0.10520282	0.10071067	0.040423373	0.4132014	1.7500278	1.7703791	-5.8944062	R0:N6:S0:1	e569cda	 1.15e-02	 1.23e-03	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7228969	-0.43808842	1.4	1	0.63807817	0.58924741	0.1042459	0.11132505	3.8934433	0.99761584	-0.67165257	-0.89029764	-0.8675057	0.041854946	0.10509249	0.10071961	0.040415597	0.41322132	1.750372	1.7700835	-5.8957881	R0:N6:S0:1	e569cda	 1.15e-02	 1.56e-04	 4.97e-05	2022-03-21@18:29
1D_2_4b	4	1.7229035	-0.43778489	1.4	1	0.63806172	0.58917525	0.10424613	0.11132179	3.8934412	0.9976185	-0.671653	-0.89028256	-0.86750311	0.041854997	0.1050899	0.1007213	0.040414411	0.41322344	1.750396	1.770078	-5.8945284	R0:N6:S0:1	e569cda	 1.15e-02	 9.60e-05	 1.99e-05	2022-03-21@18:29
1D_2_4b	4	1.7227288	-0.43771094	1.4	1	0.63804664	0.58914987	0.10424515	0.11133208	3.893438	0.99761497	-0.67165084	-0.89031628	-0.86750988	0.041854689	0.1050991	0.10072434	0.040415596	0.41322063	1.7503747	1.7700892	-5.8942244	R0:N6:S0:1	e569cda	 1.15e-02	 4.44e-06	 4.73e-06	2022-03-21@18:29
1D_2_4b	4	1.7227251	-0.43770434	1.4	1	0.63805032	0.58914704	0.10424505	0.11133343	3.8934377	0.99761444	-0.67165056	-0.89032141	-0.86751046	0.041854655	0.10510031	0.1007246	0.040415804	0.41322018	1.7503713	1.7700904	-5.8941999	R0:N6:S0:1	e569cda	 1.15e-02	 0.00e+00	 5.95e-07	2022-03-21@18:29
1D_2_4b	4	1.6793684	-0.41954662	1.38	1	0.63546153	0.58409155	0.1036113	0.1155325	3.8930919	0.99568779	-0.67091296	-0.90449982	-0.86754969	0.041654341	0.10881109	0.10109764	0.040879839	0.41216049	1.7391139	1.7769487	-5.781849	R0:N6:S0:1	e569cda	 1.33e-02	 1.53e-03	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.6823824	-0.41908005	1.38	1	0.6355324	0.58428557	0.10364593	0.11531883	3.8930984	0.99579141	-0.67094889	-0.90377724	-0.86757804	0.041665303	0.10862311	0.10108862	0.04085623	0.41221389	1.7397172	1.7765765	-5.7799171	R0:N6:S0:1	e569cda	 1.34e-02	 3.55e-04	 8.34e-05	2022-03-21@18:29
1D_2_4b	4	1.6819011	-0.41858547	1.38	1	0.63546712	0.58413092	0.10364186	0.11534215	3.893092	0.99578294	-0.67094454	-0.90384554	-0.86757463	0.041663977	0.10864422	0.10109461	0.040857143	0.41221063	1.7396837	1.776616	-5.777854	R0:N6:S0:1	e569cda	 1.34e-02	 1.64e-04	 3.24e-05	2022-03-21@18:29
1D_2_4b	4	1.6815816	-0.41852273	1.38	1	0.63544557	0.58410289	0.1036401	0.11536383	3.8930852	0.99577546	-0.67093995	-0.90391629	-0.86759183	0.041663431	0.10866343	0.10110093	0.040859963	0.41220417	1.7396356	1.7766378	-5.7776028	R0:N6:S0:1	e569cda	 1.34e-02	 4.99e-06	 5.07e-06	2022-03-21@18:29
1D_2_4b	4	1.6815788	-0.41852921	1.38	1	0.6354524	0.58410452	0.10364012	0.11536622	3.8930843	0.99577473	-0.67093938	-0.90392533	-0.86759526	0.041663442	0.10866554	0.10110176	0.040860461	0.41220313	1.7396294	1.7766381	-5.777636	R0:N6:S0:1	e569cda	 1.34e-02	 0.00e+00	 7.78e-07	2022-03-21@18:29
1D_2_4b	4	1.6337569	-0.40353942	1.36	1	0.63304588	0.5795761	0.10297063	0.12028517	3.8925157	0.99359955	-0.67004693	-0.92018435	-0.86839055	0.041452091	0.11298775	0.1016846	0.041436975	0.41089394	1.7266273	1.7840723	-5.6790038	R0:N6:S0:1	e569cda	 1.52e-02	 1.45e-03	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.6365769	-0.40290636	1.36	1	0.63310125	0.57966366	0.10299885	0.12006277	3.8925418	0.99369773	-0.67008775	-0.91944977	-0.8683353	0.041460966	0.11279335	0.10165796	0.041408924	0.41095663	1.7272325	1.7837512	-5.6763276	R0:N6:S0:1	e569cda	 1.53e-02	 3.51e-04	 8.36e-05	2022-03-21@18:29
1D_2_4b	4	1.6360286	-0.40249796	1.36	1	0.63303361	0.57951721	0.10299336	0.12009175	3.8925368	0.99368573	-0.67008275	-0.91953427	-0.86832607	0.041459186	0.11281925	0.10166283	0.041410257	0.41095238	1.7271803	1.7838059	-5.6746144	R0:N6:S0:1	e569cda	 1.53e-02	 8.29e-05	 2.77e-05	2022-03-21@18:29
1D_2_4b	4	1.6358647	-0.40247686	1.36	1	0.63302754	0.57950323	0.10299223	0.12010495	3.8925331	0.99368095	-0.67008002	-0.9195771	-0.86833537	0.041458834	0.11283087	0.10166627	0.041412005	0.41094842	1.7271498	1.7838197	-5.6745342	R0:N6:S0:1	e569cda	 1.53e-02	 2.59e-06	 2.62e-06	2022-03-21@18:29
1D_2_4b	4	1.6358639	-0.40248056	1.36	1	0.6330309	0.57950427	0.10299225	0.12010612	3.8925327	0.99368061	-0.67007973	-0.91958147	-0.86833718	0.041458843	0.1128319	0.10166671	0.041412255	0.4109479	1.7271467	1.7838198	-5.6745527	R0:N6:S0:1	e569cda	 1.53e-02	 0.00e+00	 4.02e-07	2022-03-21@18:29
1D_2_4b	4	1.5855806	-0.38955839	1.34	1	0.63078581	0.57534631	0.10229904	0.1256618	3.8917354	0.99130138	-0.66904662	-0.93747738	-0.86989277	0.041240072	0.11768288	0.10246319	0.042086694	0.40941837	1.7127181	1.7916899	-5.5850369	R0:N6:S0:1	e569cda	 1.71e-02	 9.66e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5874071	-0.38893108	1.34	1	0.63077651	0.57534925	0.10231738	0.12549342	3.8917604	0.99137311	-0.66907864	-0.93692951	-0.8698218	0.041245812	0.11753682	0.10243847	0.042063667	0.40946927	1.7131763	1.791473	-5.58236	R0:N6:S0:1	e569cda	 1.71e-02	 2.76e-04	 7.01e-05	2022-03-21@18:29
1D_2_4b	4	1.5869509	-0.3886471	1.34	1	0.63072745	0.57523565	0.10231227	0.12552113	3.8917564	0.99136123	-0.66907394	-0.93700991	-0.86981344	0.041244157	0.11756136	0.10244243	0.042065236	0.40946473	1.7131217	1.7915249	-5.5811674	R0:N6:S0:1	e569cda	 1.71e-02	 5.04e-06	 2.00e-05	2022-03-21@18:29
1D_2_4b	4	1.5869491	-0.38864793	1.34	1	0.63073636	0.57523137	0.10231187	0.12552368	3.8917566	0.99135987	-0.66907353	-0.93701942	-0.86981216	0.041244029	0.1175636	0.10244229	0.042065583	0.40946399	1.7131137	1.7915288	-5.5811754	R0:N6:S0:1	e569cda	 1.71e-02	 3.19e-06	 1.29e-06	2022-03-21@18:29
1D_2_4b	4	1.5869456	-0.38865298	1.34	1	0.63073581	0.57523298	0.1023119	0.12552388	3.8917564	0.99135984	-0.66907347	-0.93702001	-0.86981285	0.041244038	0.11756377	0.10244241	0.042065636	0.40946388	1.7131132	1.7915287	-5.5811964	R0:N6:S0:1	e569cda	 1.71e-02	 0.00e+00	 3.66e-07	2022-03-21@18:29
1D_2_4b	4	1.5348238	-0.37704647	1.32	1	0.62856714	0.57129064	0.1015964	0.13172323	3.8907093	0.98878375	-0.6678968	-0.95640404	-0.87217043	0.041018163	0.1229388	0.10347171	0.042834437	0.4077185	1.6973465	1.7998175	-5.4976447	R0:N6:S0:1	e569cda	 1.89e-02	 4.29e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5356007	-0.37668208	1.32	1	0.62853986	0.57128717	0.10160608	0.13164198	3.8907176	0.98882023	-0.66791171	-0.95614381	-0.8721477	0.041021214	0.12286898	0.10346318	0.042823435	0.40774277	1.6975757	1.7997057	-5.4960956	R0:N6:S0:1	e569cda	 1.90e-02	 1.95e-04	 4.04e-05	2022-03-21@18:29
1D_2_4b	4	1.5352478	-0.37653475	1.32	1	0.62850755	0.5712233	0.10160269	0.13166796	3.8907114	0.9888103	-0.66790677	-0.95621885	-0.87215475	0.041020126	0.1228917	0.10346906	0.042825795	0.40773687	1.6975229	1.7997429	-5.4954822	R0:N6:S0:1	e569cda	 1.90e-02	 5.35e-06	 1.11e-05	2022-03-21@18:29
1D_2_4b	4	1.5352439	-0.37654254	1.32	1	0.62851368	0.57122424	0.10160261	0.13167037	3.8907108	0.98880942	-0.66790625	-0.9562273	-0.87215708	0.041020102	0.12289378	0.10346965	0.042826244	0.40773593	1.6975163	1.7997442	-5.4955197	R0:N6:S0:1	e569cda	 1.90e-02	 0.00e+00	 9.41e-07	2022-03-21@18:29
1D_2_4b	4	1.4807587	-0.36614923	1.3	1	0.62636449	0.56747806	0.10086112	0.13866078	3.8893424	0.98599843	-0.6665517	-0.97737093	-0.87553343	0.040785987	0.12890631	0.10479752	0.043708413	0.40572994	1.6801694	1.8085243	-5.4176034	R0:N6:S0:1	e569cda	 2.07e-02	 3.67e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4814831	-0.36604693	1.3	1	0.62638423	0.56752049	0.10086915	0.13859101	3.8893542	0.98602739	-0.66656489	-0.97716327	-0.87550704	0.040788537	0.12884658	0.10478588	0.043699917	0.40574938	1.6803444	1.808431	-5.4171615	R0:N6:S0:1	e569cda	 2.07e-02	 1.05e-04	 2.05e-05	2022-03-21@18:29
1D_2_4b	4	1.4812927	-0.36596681	1.3	1	0.62636206	0.56748458	0.10086717	0.13860451	3.8893513	0.98602211	-0.66656243	-0.97719971	-0.87550878	0.040787895	0.12885829	0.10478875	0.04370093	0.40574668	1.6803181	1.8084526	-5.4168232	R0:N6:S0:1	e569cda	 2.07e-02	 2.61e-06	 6.13e-06	2022-03-21@18:29
1D_2_4b	4	1.4812924	-0.36597098	1.3	1	0.62636516	0.56748506	0.10086712	0.13860556	3.889351	0.9860217	-0.6665622	-0.97720339	-0.87550966	0.040787882	0.1288592	0.10478895	0.043701128	0.40574627	1.6803151	1.8084533	-5.4168429	R0:N6:S0:1	e569cda	 2.07e-02	 0.00e+00	 4.92e-07	2022-03-21@18:29
1D_2_4b	4	1.4250913	-0.35693829	1.28	1	0.62429025	0.56401544	0.1001016	0.1464543	3.8876182	0.98296377	-0.66501286	-1.0001128	-0.88004608	0.040546146	0.13554855	0.10645441	0.044704857	0.40345988	1.6613207	1.8177174	-5.3452495	R0:N6:S0:1	e569cda	 2.23e-02	 6.23e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4263061	-0.35666329	1.28	1	0.62432337	0.56401895	0.10011148	0.14631959	3.8876561	0.98301213	-0.66504098	-0.9997263	-0.87993023	0.040549216	0.13543446	0.10641846	0.044686152	0.40350199	1.6616385	1.8175865	-5.3440387	R0:N6:S0:1	e569cda	 2.23e-02	 9.92e-05	 3.55e-05	2022-03-21@18:29
1D_2_4b	4	1.4261503	-0.35655655	1.28	1	0.62429658	0.56396475	0.10010848	0.14632622	3.8876588	0.98300747	-0.6650407	-0.99974032	-0.87990939	0.040548225	0.13544027	0.10641623	0.044685419	0.40350293	1.6616257	1.8176151	-5.3435721	R0:N6:S0:1	e569cda	 2.23e-02	 3.59e-06	 8.28e-06	2022-03-21@18:29
1D_2_4b	4	1.4261502	-0.35656333	1.28	1	0.62429451	0.56396577	0.10010841	0.1463252	3.8876595	0.98300763	-0.66504099	-0.99973712	-0.87990725	0.040548202	0.13543937	0.10641561	0.044685224	0.40350335	1.6616272	1.8176156	-5.3435973	R0:N6:S0:1	e569cda	 2.23e-02	 0.00e+00	 6.56e-07	2022-03-21@18:29
1D_2_4b	4	1.3698173	-0.34831961	1.26	1	0.62230172	0.56066638	0.099322742	0.15494373	3.8855804	0.97973796	-0.66331668	-1.023956	-0.88550876	0.040299852	0.14271132	0.10840041	0.045790656	0.40097738	1.6412994	1.8272838	-5.2758549	R0:N6:S0:1	e569cda	 2.39e-02	 4.67e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3706582	-0.34791633	1.26	1	0.62229769	0.56061057	0.099329329	0.15483255	3.8856128	0.97977732	-0.66334046	-1.0236425	-0.88539713	0.040301866	0.14261859	0.10836985	0.04577393	0.40101443	1.64157	1.8271896	-5.2741041	R0:N6:S0:1	e569cda	 2.39e-02	 1.29e-04	 4.09e-05	2022-03-21@18:29
1D_2_4b	4	1.3704272	-0.34781828	1.26	1	0.62226664	0.56055679	0.099325944	0.15484925	3.8856112	0.97976975	-0.66333792	-1.0236827	-0.88538905	0.040300757	0.14263283	0.10837158	0.045774598	0.40101215	1.6415375	1.8272251	-5.2736795	R0:N6:S0:1	e569cda	 2.39e-02	 5.18e-06	 8.12e-06	2022-03-21@18:29
1D_2_4b	4	1.3704286	-0.34782819	1.26	1	0.62226651	0.5605594	0.099325959	0.15484886	3.8856115	0.9797698	-0.66333801	-1.0236817	-0.88538868	0.040300762	0.14263248	0.10837133	0.045774574	0.40101223	1.6415375	1.8272249	-5.27372	R0:N6:S0:1	e569cda	 2.39e-02	 6.31e-07	 8.25e-07	2022-03-21@18:29
1D_2_4b	4	1.3141293	-0.33976728	1.24	1	0.62027856	0.5572672	0.098516248	0.16428615	3.8831498	0.97628201	-0.66142864	-1.0491376	-0.89210641	0.040044404	0.15050842	0.11070763	0.046979397	0.39824691	1.6199254	1.8373258	-5.2072799	R0:N6:S0:1	e569cda	 2.53e-02	 7.15e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3141372	-0.3396304	1.24	1	0.62026975	0.55722732	0.098515784	0.16428202	3.8831509	0.97628355	-0.6614298	-1.0491235	-0.89209406	0.040044234	0.15050537	0.11070663	0.046977949	0.39824973	1.6199445	1.8373278	-5.2067023	R0:N6:S0:1	e569cda	 2.53e-02	 8.57e-06	 1.13e-05	2022-03-21@18:29
1D_2_4b	4	1.3141372	-0.33961641	1.24	1	0.62027344	0.55721814	0.098515287	0.16428252	3.883152	0.97628273	-0.66142993	-1.0491255	-0.89208842	0.040044068	0.15050584	0.11070559	0.046977817	0.39824996	1.6199422	1.837332	-5.2066436	R0:N6:S0:1	e569cda	 2.53e-02	 1.16e-06	 1.35e-06	2022-03-21@18:29
1D_2_4b	4	1.3141376	-0.33961813	1.24	1	0.62027201	0.55721863	0.098515291	0.16428182	3.8831523	0.97628292	-0.6614301	-1.0491234	-0.89208751	0.040044068	0.15050525	0.11070531	0.046977699	0.39825022	1.6199436	1.8373319	-5.2066492	R0:N6:S0:1	e569cda	 2.53e-02	 0.00e+00	 2.14e-07	2022-03-21@18:29
1D_2_4b	4	1.2572754	-0.33193143	1.22	1	0.61831362	0.5539422	0.097672273	0.17475417	3.8802122	0.97251682	-0.65928818	-1.0761759	-0.90018182	0.039776746	0.1591384	0.11347988	0.04830601	0.39518787	1.5967171	1.847984	-5.1424524	R0:N6:S0:1	e569cda	 2.67e-02	 1.74e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.257056	-0.33219317	1.22	1	0.61833574	0.55400717	0.097671323	0.17479825	3.880197	0.97250237	-0.65927797	-1.0762955	-0.90024433	0.039776502	0.15917385	0.11349396	0.048313791	0.39517111	1.5966058	1.8480058	-5.1435887	R0:N6:S0:1	e569cda	 2.67e-02	 4.70e-05	 2.36e-05	2022-03-21@18:29
