model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.3766919	-1.2807201	1.96	1	0.66436494	0.66256548	0.10504747	0.10120806	3.8983728	1.0002096	-0.67400845	-0.8573982	-0.85884005	0.042116387	0.095882328	0.096242614	0.039460947	0.41576277	1.7640878	1.7619953	-10.420514	R0:N6:S0:1	e569cda	 4.36e-04	 1.46e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3765438	-1.2804764	1.96	1	0.66432897	0.66251531	0.10504795	0.10121046	3.8983685	1.0002105	-0.67400741	-0.85740336	-0.85885134	0.042116533	0.095884589	0.096246524	0.039461149	0.41576197	1.7640932	1.7619907	-10.419505	R0:N6:S0:1	e569cda	 4.36e-04	 1.25e-06	 3.99e-06	2022-03-21@18:29
1D_2_4b	4	1.3765433	-1.2804756	1.96	1	0.66432915	0.66251761	0.10504817	0.10121078	3.8983677	1.0002107	-0.67400723	-0.85740457	-0.85885421	0.042116605	0.095884877	0.096247158	0.039461309	0.41576163	1.7640931	1.7619889	-10.419504	R0:N6:S0:1	e569cda	 4.36e-04	 0.00e+00	 2.72e-07	2022-03-21@18:29
1D_2_4b	4	1.4000569	-1.2558114	1.94	1	0.66467458	0.66193916	0.10510291	0.10111829	3.8982459	1.0003179	-0.67400255	-0.8570786	-0.85926502	0.042133999	0.095806049	0.09635257	0.039463411	0.4157561	1.7646205	1.7614457	-10.280765	R0:N6:S0:1	e569cda	 4.45e-04	 9.98e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.3998797	-1.2557247	1.94	1	0.66464898	0.66192202	0.10510292	0.10112461	3.8982422	1.0003166	-0.6740009	-0.85709983	-0.85927686	0.042134008	0.09581172	0.096355968	0.039464414	0.41575377	1.7646092	1.7614473	-10.280408	R0:N6:S0:1	e569cda	 4.45e-04	 3.99e-05	 2.39e-06	2022-03-21@18:29
1D_2_4b	4	1.3998049	-1.2556989	1.94	1	0.66464062	0.66191781	0.10510297	0.10112794	3.8982403	1.0003159	-0.67400004	-0.85711153	-0.85928315	0.042134027	0.095814702	0.096357648	0.039465008	0.41575244	1.7646024	1.7614479	-10.280305	R0:N6:S0:1	e569cda	 4.45e-04	 7.63e-07	 1.00e-06	2022-03-21@18:29
1D_2_4b	4	1.4226648	-1.2305647	1.92	1	0.66488658	0.66125005	0.10515883	0.1010592	3.8981009	1.0004199	-0.67398859	-0.85686463	-0.85974939	0.042151795	0.09575728	0.096479027	0.039471155	0.4157374	1.7650953	1.7609003	-10.139638	R0:N6:S0:1	e569cda	 4.57e-04	 6.34e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4227667	-1.2306378	1.92	1	0.66490232	0.66126174	0.10515848	0.10105543	3.8981041	1.0004202	-0.67398974	-0.85685205	-0.85973868	0.04215168	0.095753878	0.096476105	0.039470437	0.41573906	1.7651003	1.7609025	-10.139936	R0:N6:S0:1	e569cda	 4.57e-04	 7.13e-07	 1.55e-06	2022-03-21@18:29
1D_2_4b	4	1.4454307	-1.2052938	1.9	1	0.66510759	0.66054496	0.10521431	0.10099086	3.897961	1.0005241	-0.67397708	-0.85661655	-0.86021321	0.042169429	0.095700265	0.096600825	0.039476916	0.41572292	1.7655921	1.7603554	-9.9983958	R0:N6:S0:1	e569cda	 4.73e-04	 2.14e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4454725	-1.2053006	1.9	1	0.66511373	0.66054474	0.10521422	0.10098936	3.897962	1.0005243	-0.6739775	-0.85661148	-0.86020942	0.042169398	0.095698924	0.096599875	0.039476622	0.41572358	1.7655949	1.7603557	-9.9984231	R0:N6:S0:1	e569cda	 4.73e-04	 4.94e-07	 5.42e-07	2022-03-21@18:29
1D_2_4b	4	1.4679222	-1.1796866	1.88	1	0.66527609	0.65977008	0.10527052	0.1009304	3.8978128	1.0006284	-0.67396299	-0.85639246	-0.8606998	0.042187289	0.095650445	0.096729981	0.03948384	0.4157054	1.7660858	1.7598048	-9.8557657	R0:N6:S0:1	e569cda	 4.92e-04	 9.23e-07	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4901146	-1.1537951	1.86	1	0.66539419	0.65893242	0.10532695	0.10087945	3.8976574	1.0007316	-0.67394622	-0.85619885	-0.86120614	0.042205215	0.095609256	0.096865697	0.039492089	0.41568454	1.7665692	1.7592536	-9.7119608	R0:N6:S0:1	e569cda	 5.16e-04	 5.60e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.4900799	-1.1536906	1.86	1	0.66538784	0.6589127	0.10532738	0.10088104	3.8976549	1.000732	-0.67394555	-0.85620403	-0.86121359	0.042205354	0.095610741	0.096867943	0.039492428	0.4156837	1.7665703	1.7592496	-9.7115347	R0:N6:S0:1	e569cda	 5.16e-04	 7.11e-07	 1.75e-06	2022-03-21@18:29
1D_2_4b	4	1.5119452	-1.1273124	1.84	1	0.66544474	0.65798106	0.10538561	0.10084101	3.8974861	1.0008364	-0.67392486	-0.85604478	-0.86175919	0.04222385	0.095579587	0.097015624	0.039502656	0.41565791	1.7670521	1.7586834	-9.565733	R0:N6:S0:1	e569cda	 5.45e-04	 4.72e-05	 1.00e+06	2022-03-21@18:29
